---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.FileOut.UpdData = 2
Main.Study.FileOut.FileName = "..\Output\GH_2spheres.main_F=.txt"
Main.Study.FileOut.NumberFormat.Digits = 6
Main.Study.FileOut.NumberFormat.Width = 23
Main.Study.FileOut.NumberFormat.Style = ScientificNumber
Main.Study.FileOut.NumberFormat.FormatStr = "%23.6e"
Main.Study.FileOut.Values = 
Main.Study.FileOut.Search = 
Main.Study.FileOut.Format = 0
Main.Study.FileOut.SepSign = ","
Main.Study.FileOut.SepSpaceAutoOnOff = On
Main.Study.FileOut.LineSepSign = ""
Main.Study.FileOut.Header.TitleSectionOnOff = On
Main.Study.FileOut.Header.ConstSectionOnOff = On
Main.Study.FileOut.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.FileOut.Header.VarSectionOnOff = On
Main.Study.FileOut.Header.ColumnNamesOnOff = On
Main.Study.FileOut.Header.LinePrefix = ""
Main.Study.FileOut.Header.ShortenNamesOnOff = Off
Main.Study.FileOut.Header.ColumnIDString = "col"
Main.Study.FileOut.ConstSectionSaveOptionsOnOff = On
Main.Study.FileOut.SuppressTimeColumnOnOff = Off
Main.Study.FileOut.nstep =            7.000000e+01
Main.Study.FileOut.AcromionScalingFactor =           -2.000000e-02
Main.Study.FileOut.MuscleRecruitment = MR_MinMaxAux
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.Study.FileOut.abduction
col2  Main.Study.FileOut.Ins[0]
col3  Main.Study.FileOut.Ins[1]
col4  Main.Study.FileOut.Ins[2]
col5  Main.Study.FileOut.Ori[0]
col6  Main.Study.FileOut.Ori[1]
col7  Main.Study.FileOut.Ori[2]
----------------------------------------------------------
Main.Study.t,Main.Study.FileOut.abduction,Main.Study.FileOut.Ins[0],Main.Study.FileOut.Ins[1],Main.Study.FileOut.Ins[2],Main.Study.FileOut.Ori[0],Main.Study.FileOut.Ori[1],Main.Study.FileOut.Ori[2]
           0.000000e+00,           1.745329e-01,          -6.188471e-02,           1.634597e+00,           1.830527e-01,          -4.004881e-02,           1.593010e+00,           1.883357e-01
           1.449275e-02,           2.048865e-01,          -6.105160e-02,           1.634624e+00,           1.833878e-01,          -3.920246e-02,           1.593028e+00,           1.885417e-01
           2.898551e-02,           2.352400e-01,          -6.066957e-02,           1.634840e+00,           1.835195e-01,          -3.880048e-02,           1.593254e+00,           1.886676e-01
           4.347826e-02,           2.655935e-01,          -6.059422e-02,           1.635191e+00,           1.835143e-01,          -3.869960e-02,           1.593628e+00,           1.887416e-01
           5.797101e-02,           2.959471e-01,          -6.073390e-02,           1.635639e+00,           1.834119e-01,          -3.880958e-02,           1.594110e+00,           1.887788e-01
           7.246377e-02,           3.263007e-01,          -6.102724e-02,           1.636158e+00,           1.832387e-01,          -3.907018e-02,           1.594670e+00,           1.887888e-01
           8.695652e-02,           3.566542e-01,          -6.143058e-02,           1.636729e+00,           1.830128e-01,          -3.943886e-02,           1.595288e+00,           1.887774e-01
           1.014493e-01,           3.870078e-01,          -6.191146e-02,           1.637334e+00,           1.827478e-01,          -3.988408e-02,           1.595945e+00,           1.887485e-01
           1.159420e-01,           4.173613e-01,          -6.244485e-02,           1.637960e+00,           1.824543e-01,          -4.038154e-02,           1.596628e+00,           1.887055e-01
           1.304348e-01,           4.477149e-01,          -6.301154e-02,           1.638598e+00,           1.821409e-01,          -4.091263e-02,           1.597325e+00,           1.886507e-01
           1.449275e-01,           4.780685e-01,          -6.360132e-02,           1.639242e+00,           1.818117e-01,          -4.146739e-02,           1.598030e+00,           1.885856e-01
           1.594203e-01,           5.084220e-01,          -6.420827e-02,           1.639890e+00,           1.814692e-01,          -4.204000e-02,           1.598742e+00,           1.885112e-01
