---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.FileOut.UpdData = 2
Main.Study.FileOut.FileName = "..\Output\GH_2spheres.main_F=.txt"
Main.Study.FileOut.NumberFormat.Digits = 6
Main.Study.FileOut.NumberFormat.Width = 23
Main.Study.FileOut.NumberFormat.Style = ScientificNumber
Main.Study.FileOut.NumberFormat.FormatStr = "%23.6e"
Main.Study.FileOut.Values = 
Main.Study.FileOut.Search = 
Main.Study.FileOut.Format = 0
Main.Study.FileOut.SepSign = ","
Main.Study.FileOut.SepSpaceAutoOnOff = On
Main.Study.FileOut.LineSepSign = ""
Main.Study.FileOut.Header.TitleSectionOnOff = On
Main.Study.FileOut.Header.ConstSectionOnOff = On
Main.Study.FileOut.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.FileOut.Header.VarSectionOnOff = On
Main.Study.FileOut.Header.ColumnNamesOnOff = On
Main.Study.FileOut.Header.LinePrefix = ""
Main.Study.FileOut.Header.ShortenNamesOnOff = Off
Main.Study.FileOut.Header.ColumnIDString = "col"
Main.Study.FileOut.ConstSectionSaveOptionsOnOff = On
Main.Study.FileOut.SuppressTimeColumnOnOff = Off
Main.Study.FileOut.nstep =            7.000000e+01
Main.Study.FileOut.rg =            2.000000e-02
Main.Study.FileOut.rh =            2.001000e-02
Main.Study.FileOut.kML =            0.000000e+00
Main.Study.FileOut.kIS =            0.000000e+00
Main.Study.FileOut.kAP =            0.000000e+00
Main.Study.FileOut.MuscleRecruitment = MR_MinMaxAux
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.Study.FileOut.abduction
col2  Main.Study.FileOut.Ins[0]
col3  Main.Study.FileOut.Ins[1]
col4  Main.Study.FileOut.Ins[2]
col5  Main.Study.FileOut.Ori[0]
col6  Main.Study.FileOut.Ori[1]
col7  Main.Study.FileOut.Ori[2]
col8  Main.Study.FileOut.SpringForce[0]
col9  Main.Study.FileOut.SpringForce[1]
col10  Main.Study.FileOut.SpringForce[2]
col11  Main.Study.FileOut.ForceDepKinError
----------------------------------------------------------
Main.Study.t,Main.Study.FileOut.abduction,Main.Study.FileOut.Ins[0],Main.Study.FileOut.Ins[1],Main.Study.FileOut.Ins[2],Main.Study.FileOut.Ori[0],Main.Study.FileOut.Ori[1],Main.Study.FileOut.Ori[2],Main.Study.FileOut.SpringForce[0],Main.Study.FileOut.SpringForce[1],Main.Study.FileOut.SpringForce[2],Main.Study.FileOut.ForceDepKinError
           0.000000e+00,           1.745329e-01,          -5.401800e-02,           1.638685e+00,           2.009879e-01,          -3.999384e-02,           1.593030e+00,           1.884447e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           8.112855e-02
           1.449275e-02,           2.048865e-01,          -5.308437e-02,           1.638704e+00,           2.012810e-01,          -3.914644e-02,           1.593051e+00,           1.886485e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.875918e-02
           2.898551e-02,           2.352400e-01,          -5.265736e-02,           1.638943e+00,           2.013886e-01,          -3.874298e-02,           1.593280e+00,           1.887736e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           5.582831e-02
           4.347826e-02,           2.655936e-01,          -5.257479e-02,           1.639336e+00,           2.013711e-01,          -3.864082e-02,           1.593657e+00,           1.888469e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           5.528155e-02
           5.797101e-02,           2.959471e-01,          -5.273394e-02,           1.639841e+00,           2.012648e-01,          -3.874976e-02,           1.594142e+00,           1.888835e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.517133e-02
           7.246377e-02,           3.263007e-01,          -5.306576e-02,           1.640429e+00,           2.010932e-01,          -3.900949e-02,           1.594706e+00,           1.888928e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.839666e-02
           8.695652e-02,           3.566542e-01,          -5.352127e-02,           1.641076e+00,           2.008727e-01,          -3.937745e-02,           1.595327e+00,           1.888806e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           8.428357e-02
           1.014493e-01,           3.870078e-01,          -5.406408e-02,           1.641763e+00,           2.006153e-01,          -3.982209e-02,           1.595988e+00,           1.888509e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           6.331301e-02
           1.159420e-01,           4.173613e-01,          -5.466601e-02,           1.642475e+00,           2.003309e-01,          -4.031911e-02,           1.596674e+00,           1.888069e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           7.033949e-02
           1.304348e-01,           4.477149e-01,          -5.530550e-02,           1.643200e+00,           2.000270e-01,          -4.084990e-02,           1.597373e+00,           1.887511e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.758970e-02
           1.449275e-01,           4.780684e-01,          -5.597108e-02,           1.643932e+00,           1.997076e-01,          -4.140449e-02,           1.598082e+00,           1.886850e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.951168e-02
           1.594203e-01,           5.084220e-01,          -5.665610e-02,           1.644670e+00,           1.993748e-01,          -4.197702e-02,           1.598796e+00,           1.886094e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           8.926617e-02
           1.739130e-01,           5.387756e-01,          -5.735551e-02,           1.645411e+00,           1.990301e-01,          -4.256304e-02,           1.599515e+00,           1.885251e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           5.923659e-02
           1.884058e-01,           5.691291e-01,          -5.806544e-02,           1.646155e+00,           1.986749e-01,          -4.315915e-02,           1.600238e+00,           1.884325e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.978533e-02
           2.028986e-01,           5.994827e-01,          -5.878288e-02,           1.646899e+00,           1.983101e-01,          -4.376268e-02,           1.600963e+00,           1.883322e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.176647e-02
           2.173913e-01,           6.298362e-01,          -5.950544e-02,           1.647644e+00,           1.979365e-01,          -4.437151e-02,           1.601690e+00,           1.882246e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           8.034339e-02
           2.318841e-01,           6.601898e-01,          -6.023124e-02,           1.648389e+00,           1.975548e-01,          -4.498397e-02,           1.602418e+00,           1.881099e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           7.436669e-02
           2.463768e-01,           6.905433e-01,          -6.095879e-02,           1.649133e+00,           1.971655e-01,          -4.559873e-02,           1.603147e+00,           1.879885e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           7.606574e-02
           2.608696e-01,           7.208969e-01,          -6.168689e-02,           1.649876e+00,           1.967690e-01,          -4.621469e-02,           1.603877e+00,           1.878605e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.968527e-02
           2.753623e-01,           7.512504e-01,          -6.241456e-02,           1.650618e+00,           1.963657e-01,          -4.683099e-02,           1.604607e+00,           1.877262e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.993352e-02
           2.898551e-01,           7.816040e-01,          -6.314103e-02,           1.651359e+00,           1.959560e-01,          -4.744690e-02,           1.605337e+00,           1.875857e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.881184e-02
           3.043478e-01,           8.119575e-01,          -6.386565e-02,           1.652098e+00,           1.955400e-01,          -4.806185e-02,           1.606067e+00,           1.874392e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.023243e-02
           3.188406e-01,           8.423111e-01,          -6.458791e-02,           1.652836e+00,           1.951179e-01,          -4.867534e-02,           1.606797e+00,           1.872869e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.312180e-02
           3.333333e-01,           8.726646e-01,          -6.530741e-02,           1.653572e+00,           1.946900e-01,          -4.928700e-02,           1.607527e+00,           1.871288e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.964012e-02
           3.478261e-01,           9.030182e-01,          -6.602380e-02,           1.654307e+00,           1.942564e-01,          -4.989649e-02,           1.608257e+00,           1.869651e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.976674e-02
           3.623188e-01,           9.333717e-01,          -6.673682e-02,           1.655040e+00,           1.938172e-01,          -5.050355e-02,           1.608987e+00,           1.867959e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.186696e-02
           3.768116e-01,           9.637253e-01,          -6.744624e-02,           1.655771e+00,           1.933726e-01,          -5.110797e-02,           1.609717e+00,           1.866212e-01,           0.000000e+00,           0.000000e+00,           0.000000e+00,           9.792011e-02
